Product,Jan23,Dec22,Nov22,Oct22,Sep22,Aug22
Aciclovir 400mg dispersible tablets 56,£11.99,£11.99,£11.99,£11.99,£11.99,£11.99
Aciclovir 400mg tablets 56,£3.10,£3.21,£3.08,£3.08,£2.66,£2.66
Aciclovir 400mg/5ml oral suspension sugar free 100,£39.49,£39.49,£39.49,£39.49,£39.49,£39.49
Aciclovir 5% cream 2,£2.06,£2.02,£2.02,£2.01,£2.02,£2.00
Aciclovir 5% cream 10,£10.26,£2.02,£2.02,£2.01,£2.02,£2.00
Aciclovir 800mg dispersible tablets 35,£10.99,£10.99,£10.99,£10.99,£10.99,£10.99
Aciclovir 800mg tablets 35,£3.45,£3.28,£3.15,£3.15,£2.89,£2.89
Acipimox 250mg capsules 90,£46.33,£46.33,£46.33,£46.33,£46.33,£46.33
Acitretin 10mg capsules 60,£30.55,£30.15,£30.94,£29.35,£29.33,£29.37
Acitretin 25mg capsules 60,£58.73,£59.01,£58.44,£59.57,£57.31,£52.79
Aclidinium bromide 375micrograms/dose dry powder inhaler 60,£32.50,£32.50,£32.50,£32.50,£32.50,£32.50
Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler 60,£32.50,£32.50,£32.50,£32.50,£32.50,£32.50
Acrivastine 8mg capsules 12,£3.66,£3.66,£3.20,£3.20,£3.20,£3.20
Activated charcoal 200mg/ml oral suspension sugar free 250,£14.25,£14.25,£14.25,£14.25,£14.25,£14.25
Activated charcoal 300mg tablets 100,£2.71,£2.71,£2.71,£2.71,£2.71,£2.71
Activated charcoal 81.3% granules sugar free 50,£11.90,£11.90,£11.90,£11.90,£11.90,£11.90
Adalimumab 20mg/0.2ml solution for injection pre-filled syringes 2,£352.14,£352.14,£352.14,£352.14,£352.14,£352.14
Adalimumab 40mg/0.4ml solution for injection pre-filled disposable devices 2,£704.28,£704.28,£704.28,£704.28,£704.28,£704.28
Adalimumab 40mg/0.4ml solution for injection pre-filled syringes 2,£704.28,£704.28,£704.28,£704.28,£704.28,£704.28
Adapalene 0.1% / Benzoyl peroxide 2.5% gel 45,£19.53,£19.53,£19.53,£19.53,£19.53,£19.53
Adapalene 0.1% cream 45,£16.43,£16.43,£16.43,£16.43,£16.43,£16.43
Adapalene 0.1% gel 45,£16.43,£16.43,£16.43,£16.43,£16.43,£16.43
Adapalene 0.3% / Benzoyl peroxide 2.5% gel 45,£19.53,£19.53,£19.53,£19.53,£19.53,£19.53
Adefovir 10mg tablets 30,£252.22,£252.22,£252.22,£252.22,£252.22,£252.22
"Adrenaline (base) 100micrograms/1ml (1 in 10,000) dilute solution for injection ampoules 10",£112.04,£112.04,£112.04,£112.04,£112.04,£112.04
"Adrenaline (base) 10mg/10ml (1 in 1,000) solution for injection ampoules 10",£134.70,£122.45,£122.45,£122.45,£122.45,£122.45
"Adrenaline (base) 150micrograms/0.15ml (1 in 1,000) solution for injection pre-filled disposable devices 1",£34.30,£34.30,£34.30,£34.30,£34.30,£34.30
"Adrenaline (base) 150micrograms/0.3ml (1 in 2,000) solution for injection pre-filled disposable devices 1",£34.30,£34.30,£34.30,£34.30,£34.30,£34.30
"Adrenaline (base) 150micrograms/0.3ml (1 in 2,000) solution for injection pre-filled disposable devices 2",£68.60,£34.30,£34.30,£34.30,£34.30,£34.30
"Adrenaline (base) 1mg/10ml (1 in 10,000) dilute solution for injection ampoules 10",£129.83,£129.83,£129.83,£129.83,£129.83,£129.83
"Adrenaline (base) 1mg/1ml (1 in 1,000) solution for injection ampoules 10",£10.42,£10.34,£10.34,£10.34,£10.34,£10.34
"Adrenaline (base) 1mg/1ml (1 in 1,000) solution for injection pre-filled syringes 1",£11.81,£11.81,£11.81,£11.81,£11.81,£11.81
"Adrenaline (base) 300micrograms/0.3ml (1 in 1,000) solution for injection pre-filled disposable devices 1",£34.30,£34.30,£34.30,£34.30,£34.30,£34.30
"Adrenaline (base) 500micrograms/0.5ml (1 in 1,000) solution for injection ampoules 10",£253.96,£241.15,£253.64,£225.74,£213.97,£190.55
"Adrenaline (base) 500micrograms/0.5ml (1 in 1,000) solution for injection pre-filled disposable devices 1",£26.99,£26.99,£26.99,£26.99,£26.99,£26.99
"Adrenaline (base) 500micrograms/5ml (1 in 10,000) dilute solution for injection ampoules 10",£119.35,£119.35,£119.35,£119.35,£119.35,£119.35
"Adrenaline (base) 5mg/5ml (1 in 1,000) solution for injection ampoules 10",£137.32,£137.32,£137.32,£137.32,£137.32,£137.32
Agomelatine 25mg tablets 28,£15.69,£15.80,£15.92,£16.07,£16.24,£16.44
Alclometasone 0.05% cream 50,£18.15,£18.12,£18.13,£18.10,£18.16,£18.03
Alendronic acid 10mg tablets 28,£7.50,£5.96,£5.71,£5.71,£5.27,£5.27
Alendronic acid 70mg / Colecalciferol 140microgram tablets 4,£4.25,£4.25,£4.25,£4.25,£4.25,£4.25
Alendronic acid 70mg / Colecalciferol 70microgram tablets 4,£22.80,£22.80,£22.80,£22.80,£22.80,£22.80
Alendronic acid 70mg effervescent tablets sugar free 4,£11.60,£11.60,£11.60,£11.60,£11.60,£11.60
Alendronic acid 70mg tablets 4,£5.35,£0.83,£0.81,£0.81,£0.68,£0.68
Alendronic acid 70mg/100ml oral solution unit dose sugar free 4,£31.93,£31.48,£32.38,£30.58,£30.60,£30.55
Alfacalcidol 1microgram capsules 30,£3.52,£3.73,£3.58,£3.58,£3.46,£3.46
Alfacalcidol 1micrograms/0.5ml solution for injection ampoules 10,£21.57,£21.57,£21.57,£21.57,£21.57,£21.57
Alfacalcidol 250nanogram capsules 30,£4.93,£4.93,£4.93,£4.93,£4.93,£4.93
Alfacalcidol 2micrograms/1ml solution for injection ampoules 10,£41.13,£41.13,£41.13,£41.13,£41.13,£41.13
Alfacalcidol 2micrograms/ml oral drops sugar free 10,£21.30,£21.30,£21.30,£21.30,£21.30,£21.30
Alfacalcidol 500nanogram capsules 30,£9.90,£9.90,£9.90,£9.90,£9.90,£9.90
Alfentanil 1mg/2ml solution for injection ampoules 10,£6.34,£6.34,£6.34,£6.34,£6.34,£6.34
Alfentanil 5mg/10ml solution for injection ampoules 5,£16.00,£16.00,£16.00,£16.00,£16.00,£16.00
Alfentanil 5mg/10ml solution for injection ampoules 10,£29.80,£16.00,£16.00,£16.00,£16.00,£16.00
Alfentanil 5mg/1ml solution for injection ampoules 10,£23.19,£23.19,£23.19,£23.19,£23.19,£23.19
Alfuzosin 10mg modified-release tablets 30,£12.51,£12.51,£12.51,£12.51,£12.51,£12.51
Alfuzosin 2.5mg tablets 60,£1.47,£1.48,£1.43,£1.43,£1.46,£1.46
Alginate raft-forming oral suspension sugar free 150,£2.91,£2.91,£2.91,£2.91,£2.91,£2.91
Alginate raft-forming oral suspension sugar free 300,£4.52,£2.91,£2.91,£2.91,£2.91,£2.91
Alginate raft-forming oral suspension sugar free 500,£1.99,£2.91,£2.91,£2.91,£2.91,£2.91
Alginate raft-forming oral suspension sugar free 600,£7.11,£2.91,£2.91,£2.91,£2.91,£2.91
Alimemazine 10mg tablets 28,£112.88,£112.88,£112.88,£112.88,£112.88,£112.88
Alimemazine 10mg/5ml oral solution sugar free 100,£182.00,£182.00,£182.00,£182.00,£182.00,£182.00
Alimemazine 30mg/5ml oral solution 100,£243.51,£243.51,£243.51,£243.51,£243.51,£243.51
Alimemazine 30mg/5ml oral solution sugar free 100,£190.95,£188.17,£193.72,£182.61,£183.18,£182.04
Alimemazine 7.5mg/5ml oral solution 100,£179.58,£179.58,£179.58,£179.58,£179.58,£179.58
Alimemazine 7.5mg/5ml oral solution sugar free 100,£140.81,£138.76,£142.86,£134.66,£135.08,£134.24
Alirocumab 150mg/1ml solution for injection pre-filled disposable devices 2,£336.00,£336.00,£336.00,£336.00,£336.00,£336.00
Alirocumab 300mg/2ml solution for injection pre-filled disposable devices 1,£336.00,£336.00,£336.00,£336.00,£336.00,£336.00
Alirocumab 75mg/1ml solution for injection pre-filled disposable devices 2,£336.00,£336.00,£336.00,£336.00,£336.00,£336.00
Aliskiren 150mg tablets 28,£28.51,£28.51,£28.51,£28.51,£28.51,£28.51
Aliskiren 300mg tablets 28,£34.27,£34.27,£34.27,£34.27,£34.27,£34.27
Alitretinoin 10mg capsules 30,£493.72,£493.72,£493.72,£493.72,£493.72,£493.72
Alitretinoin 30mg capsules 30,£493.72,£493.72,£493.72,£493.72,£493.72,£493.72
Allantoin 0.5% / Lidocaine 0.5% ointment 25,£3.03,£3.03,£3.03,£3.03,£3.03,£3.03
Allantoin 10.25mg / Lidocaine 10.25mg suppositories 12,£3.11,£3.11,£3.11,£3.11,£3.11,£3.11
Allopurinol 100mg tablets 28,£0.88,£0.83,£0.81,£0.81,£0.79,£0.79
Allopurinol 300mg tablets 28,£1.18,£1.17,£1.13,£1.13,£1.12,£1.12
Almotriptan 12.5mg tablets 3,£8.13,£8.09,£8.26,£7.99,£8.00,£8.01
Almotriptan 12.5mg tablets 6,£16.26,£8.09,£8.26,£7.99,£8.00,£8.01
Almotriptan 12.5mg tablets 9,£24.38,£8.09,£8.26,£7.99,£8.00,£8.01
Alogliptin 12.5mg / Metformin 1g tablets 56,£26.60,£26.60,£26.60,£26.60,£26.60,£26.60
Alogliptin 12.5mg tablets 28,£26.60,£26.60,£26.60,£26.60,£26.60,£26.60
Alogliptin 25mg tablets 28,£26.60,£26.60,£26.60,£26.60,£26.60,£26.60
Alogliptin 6.25mg tablets 28,£26.60,£26.60,£26.60,£26.60,£26.60,£26.60
Alpha tocopheryl acetate 500mg/5ml oral suspension 100,£73.15,£73.15,£73.15,£73.15,£73.15,£73.15
Alprostadil 10microgram powder and solvent for solution for injection cartridges 2,£16.55,£16.55,£16.55,£16.55,£16.55,£16.55
Alprostadil 10microgram powder and solvent for solution for injection cartridges with device 2,£20.13,£20.13,£20.13,£20.13,£20.13,£20.13
Alprostadil 10microgram powder and solvent for solution for injection pre-filled disposable devices 2,£14.70,£14.70,£14.70,£14.70,£14.70,£14.70
Alprostadil 10microgram powder and solvent for solution for injection vials 1,£9.24,£9.24,£9.24,£9.24,£9.24,£9.24
Alprostadil 1mg urethral sticks 1,£11.56,£11.56,£11.56,£11.56,£11.56,£11.56
Alprostadil 20microgram powder and solvent for solution for injection cartridges 2,£21.39,£21.39,£21.39,£21.39,£21.39,£21.39
Alprostadil 20microgram powder and solvent for solution for injection cartridges with device 2,£24.54,£24.54,£24.54,£24.54,£24.54,£24.54
Alprostadil 20microgram powder and solvent for solution for injection pre-filled disposable devices 2,£19.00,£19.00,£19.00,£19.00,£19.00,£19.00
Alprostadil 20microgram powder and solvent for solution for injection vials 1,£11.94,£11.94,£11.94,£11.94,£11.94,£11.94
Alprostadil 3mg/g cream 4,£40.00,£40.00,£40.00,£40.00,£40.00,£40.00
Alprostadil 40microgram powder and solvent for solution for injection cartridges 2,£27.22,£27.22,£27.22,£27.22,£27.22,£27.22
Alprostadil 40microgram powder and solvent for solution for injection cartridges with device 2,£29.83,£29.83,£29.83,£29.83,£29.83,£29.83
Alprostadil 40microgram powder and solvent for solution for injection vials 1,£21.58,£21.58,£21.58,£21.58,£21.58,£21.58
Alprostadil 500microgram urethral sticks 1,£11.30,£11.30,£11.30,£11.30,£11.30,£11.30
Alum powder 500,£6.72,£6.72,£6.72,£6.72,£6.72,£6.72
Aluminium chloride 20% solution 20,£3.95,£3.95,£3.95,£3.95,£3.95,£3.95
Aluminium chloride 20% solution 60,£2.51,£3.95,£3.95,£3.95,£3.95,£3.95
Aluminium chloride 20% spray 30,£7.33,£7.33,£7.33,£7.33,£7.33,£7.33
Alverine 120mg capsules 60,£4.01,£4.44,£4.26,£4.26,£4.18,£4.18
Alverine 60mg / Simeticone 300mg capsules 90,£11.00,£11.00,£11.00,£11.00,£11.00,£11.00
Alverine 60mg capsules 100,£3.79,£4.13,£3.96,£3.96,£3.96,£3.96
Amantadine 100mg capsules 56,£11.83,£14.28,£13.67,£13.67,£14.61,£14.61
Amantadine 50mg/5ml oral solution sugar free 150,£140.00,£140.00,£140.00,£140.00,£140.00,£140.00
Ambrisentan 10mg tablets 30,"£1,618.08","£1,618.08","£1,618.08","£1,618.08","£1,618.08","£1,618.08"
Ambrisentan 5mg tablets 30,"£1,618.08","£1,618.08","£1,618.08","£1,618.08","£1,618.08","£1,618.08"
Amiloride 5mg / Bumetanide 1mg tablets 28,£58.00,£58.00,£58.00,£57.00,£57.00,£56.00
Amiloride 5mg tablets 28,£11.13,£15.75,£15.08,£15.08,£15.08,£15.08
Amiloride 5mg/5ml oral solution sugar free 150,£158.85,£158.85,£158.85,£158.85,£158.85,£158.85
Aminophylline 250mg/10ml solution for injection ampoules 10,£12.00,£12.00,£12.00,£12.00,£12.00,£12.00
Aminosalicylic acid gastro-resistant granules 4g sachets sugar free 30,£331.00,£331.00,£331.00,£331.00,£331.00,£331.00
Amiodarone 100mg tablets 28,£1.86,£1.86,£1.86,£1.86,£1.86,£1.86
Amiodarone 200mg tablets 28,£1.65,£1.72,£1.66,£1.66,£1.67,£1.67
Amiodarone 300mg/10ml solution for injection pre-filled syringes 1,£30.39,£28.99,£31.15,£28.68,£28.34,£27.47
Amisulpride 100mg tablets 60,£10.62,£5.84,£5.60,£5.60,£5.30,£5.30
Amisulpride 100mg/ml oral solution sugar free 60,£110.21,£108.36,£112.06,£104.66,£104.66,£104.66
Amisulpride 200mg tablets 60,£18.09,£7.69,£7.37,£7.37,£7.09,£7.09
Amisulpride 400mg tablets 60,£69.21,£57.61,£69.21,£43.02,£43.02,£42.08
Amisulpride 50mg tablets 60,£9.51,£3.89,£3.73,£3.73,£3.73,£3.73
Amitriptyline 10mg tablets 28,£0.74,£0.71,£0.69,£0.69,£0.68,£0.68
Amitriptyline 10mg/5ml oral solution sugar free 150,£136.47,£136.47,£136.47,£136.47,£136.47,£136.47
Amitriptyline 25mg tablets 28,£0.77,£0.72,£0.70,£0.70,£0.68,£0.68
Amitriptyline 25mg/5ml oral solution sugar free 150,£19.13,£20.25,£18.00,£18.00,£18.00,£18.00
Amitriptyline 50mg tablets 28,£1.01,£1.02,£0.99,£0.99,£1.01,£1.01
Amitriptyline 50mg/5ml oral solution sugar free 150,£19.20,£19.20,£19.20,£19.20,£19.20,£19.20
Amlodipine 10mg / Valsartan 160mg tablets 28,£26.51,£26.51,£26.51,£26.51,£26.51,£26.51
Amlodipine 10mg tablets 28,£0.76,£0.71,£0.69,£0.69,£0.70,£0.70
Amlodipine 10mg/5ml oral solution sugar free 150,£115.73,£115.73,£115.73,£115.73,£115.73,£115.73
Amlodipine 2.5mg tablets 28,£8.51,£8.51,£8.50,£8.51,£8.49,£8.53
Amlodipine 5mg / Valsartan 160mg tablets 28,£26.51,£26.51,£26.51,£26.51,£26.51,£26.51
Amlodipine 5mg / Valsartan 80mg tablets 28,£20.11,£20.11,£20.11,£20.11,£20.11,£20.11
Amlodipine 5mg tablets 28,£0.72,£0.67,£0.66,£0.66,£0.68,£0.68
Amlodipine 5mg/5ml oral solution sugar free 150,£75.78,£75.78,£75.78,£75.78,£75.78,£75.78
Amlodipine 5mg/5ml oral suspension sugar free 150,£70.00,£70.00,£70.00,£70.00,£70.00,£70.00
Amorolfine 5% medicated nail lacquer 5,£7.24,£5.52,£5.29,£5.29,£5.23,£5.23
Amoxicillin 125mg/5ml oral suspension 100,£1.42,£1.39,£1.35,£1.35,£1.11,£1.11
Amoxicillin 125mg/5ml oral suspension sugar free 100,£1.89,£1.32,£1.28,£1.28,£1.41,£1.41
Amoxicillin 1g dispersible tablets sugar free 6,£4.80,£4.80,£4.80,£4.80,£4.80,£4.80
Amoxicillin 1g powder for solution for injection vials 1,£1.92,£1.92,£1.92,£1.92,£1.92,£1.92
Amoxicillin 250mg capsules 15,£1.04,£0.86,£0.83,£0.83,£0.81,£0.81
Amoxicillin 250mg capsules 21,£1.46,£0.86,£0.83,£0.83,£0.81,£0.81
Amoxicillin 250mg/5ml oral suspension 100,£2.49,£2.30,£2.21,£2.21,£1.45,£1.45
Amoxicillin 250mg/5ml oral suspension sugar free 100,£2.29,£2.14,£2.06,£2.06,£1.66,£1.66
Amoxicillin 3g oral powder sachets sugar free 2,£23.38,£20.50,£18.50,£18.34,£18.65,£18.03
Amoxicillin 500mg capsules 15,£1.74,£1.37,£1.33,£1.33,£1.44,£1.44
Amoxicillin 500mg capsules 21,£2.44,£1.37,£1.33,£1.33,£1.44,£1.44
Amoxicillin 500mg powder for solution for injection vials 10,£9.60,£9.60,£9.60,£9.60,£9.60,£9.60
Amoxicillin 500mg/5ml oral suspension sugar free 100,£3.09,£3.09,£3.09,£3.09,£3.09,£3.09
Amphotericin B 50mg powder for solution for infusion vials 1,£16.21,£16.21,£16.21,£16.21,£16.21,£16.21
Ampicillin 125mg/5ml oral suspension 100,£29.86,£29.86,£29.86,£29.86,£29.86,£29.86
Ampicillin 250mg capsules 28,£76.23,£55.81,£54.03,£53.71,£50.16,£49.51
Ampicillin 500mg capsules 28,£47.96,£47.96,£47.96,£47.96,£47.96,£47.96
Ampicillin 500mg powder for solution for injection vials 10,£82.22,£82.22,£82.22,£80.26,£80.26,£78.30
Anagrelide 500microgram capsules 100,£404.57,£404.57,£404.57,£404.57,£404.57,£404.57
Anakinra 100mg/0.67ml solution for injection pre-filled syringes 7,£183.61,£183.61,£183.61,£183.61,£183.61,£183.61
Anastrozole 1mg tablets 28,£1.09,£1.08,£1.05,£1.05,£1.05,£1.05
Antazoline 0.5% / Xylometazoline 0.05% eye drops 10,£3.35,£3.35,£3.35,£3.35,£3.35,£3.35
Apixaban 2.5mg tablets 60,£57.00,£57.00,£57.00,£57.00,£57.00,£57.00
Apixaban 5mg tablets 56,£53.20,£53.20,£53.20,£53.20,£53.20,£53.20
Apomorphine 100mg/20ml solution for infusion vials 5,£145.00,£145.00,£145.00,£145.00,£145.00,£145.00
Apomorphine 30mg/3ml solution for injection cartridges 5,£123.00,£123.00,£123.00,£123.00,£123.00,£123.00
Apomorphine 30mg/3ml solution for injection pre-filled disposable devices 5,£123.91,£123.91,£123.91,£123.91,£123.91,£123.91
Apomorphine 50mg/10ml solution for infusion pre-filled syringes 5,£73.11,£73.11,£73.11,£73.11,£73.11,£73.11
Apomorphine 50mg/5ml solution for injection ampoules 5,£73.11,£73.11,£73.11,£73.11,£73.11,£73.11
Apraclonidine 1% eye drops 0.25ml unit dose preservative free 24,£77.85,£77.85,£77.85,£77.85,£77.85,£77.85
Apraclonidine 5mg/ml eye drops 5,£10.88,£10.88,£10.88,£10.88,£10.88,£10.88
Apremilast 30mg tablets 56,£550.00,£550.00,£550.00,£550.00,£550.00,£550.00
Aprepitant 125mg capsules 5,£79.03,£79.03,£79.03,£79.03,£79.03,£79.03
Aprepitant 125mg capsules and Aprepitant 80mg capsules 3,£47.71,£47.71,£47.71,£47.71,£47.71,£47.71
Aprepitant 80mg capsules 2,£31.61,£31.61,£31.61,£31.61,£31.61,£31.61
Aqueous calamine cream 100,£1.43,£1.43,£1.43,£1.43,£1.43,£1.43
Aqueous cream 100,£1.43,£1.50,£1.44,£1.44,£1.38,£1.38
Aqueous cream 500,£7.15,£1.50,£1.44,£1.44,£1.38,£1.38
Arachis oil 130ml enema 1,£52.06,£52.06,£52.06,£52.06,£52.06,£52.06
Arachis oil liquid 200,£3.20,£3.20,£3.20,£3.20,£3.20,£3.20
Aripiprazole 10mg orodispersible tablets sugar free 28,£65.22,£63.31,£57.92,£57.59,£57.17,£56.61
Aripiprazole 10mg tablets 28,£22.82,£1.49,£1.44,£1.44,£1.00,£1.00
Aripiprazole 15mg orodispersible tablets sugar free 28,£64.45,£62.49,£56.95,£56.60,£56.14,£55.53
Aripiprazole 15mg tablets 28,£7.29,£1.40,£1.35,£1.35,£1.06,£1.06
Aripiprazole 1mg/ml oral solution 150,£115.15,£106.94,£98.67,£78.17,£78.43,£84.47
Aripiprazole 30mg tablets 28,£34.12,£31.23,£36.52,£20.96,£13.27,£13.27
Aripiprazole 400mg powder and solvent for suspension for injection pre-filled syringes 1,£220.41,£220.41,£220.41,£220.41,£220.41,£220.41
Aripiprazole 400mg powder and solvent for suspension for injection vials 1,£220.41,£220.41,£220.41,£220.41,£220.41,£220.41
Aripiprazole 5mg tablets 28,£4.90,£1.10,£1.06,£1.06,£0.89,£0.89
Arnica montana gel 50,£4.14,£4.14,£4.14,£4.14,£4.14,£4.14
Arnica montana gel 100,£6.82,£4.14,£4.14,£4.14,£4.14,£4.14
Artemether 20mg / Lumefantrine 120mg tablets 24,£22.50,£22.50,£22.50,£22.50,£22.50,£22.50
Artificial saliva lozenges 30,£3.04,£3.04,£3.04,£3.04,£3.04,£3.04
Ascorbic acid 100mg tablets 28,£50.27,£48.00,£52.53,£43.47,£38.36,£35.47
Ascorbic acid 200mg tablets 28,£73.60,£72.18,£75.01,£69.35,£60.09,£53.42
Ascorbic acid 500mg tablets 28,£55.10,£50.22,£59.98,£40.45,£40.56,£40.34
Ascorbic acid 50mg tablets 28,£44.56,£44.71,£44.41,£36.58,£32.53,£30.56
Ascorbic acid powder 100,£5.97,£5.97,£5.97,£5.97,£5.97,£5.97
Asenapine 10mg sublingual tablets sugar free 60,£102.60,£102.60,£102.60,£102.60,£102.60,£102.60
Asenapine 5mg sublingual tablets sugar free 60,£102.60,£102.60,£102.60,£102.60,£102.60,£102.60
Aspirin 150mg suppositories 10,£26.10,£26.10,£26.10,£26.10,£26.10,£26.10
Aspirin 300mg dispersible tablets 32,£1.27,£1.46,£1.41,£1.41,£1.06,£1.06
Aspirin 300mg gastro-resistant tablets 100,£28.25,£28.24,£28.25,£28.23,£28.26,£28.20
Aspirin 300mg suppositories 10,£50.16,£45.60,£45.60,£45.60,£45.60,£45.60
Aspirin 300mg tablets 32,£4.02,£4.02,£4.02,£4.02,£4.02,£4.02
Aspirin 300mg tablets 100,£12.56,£4.02,£4.02,£4.02,£4.02,£4.02
Aspirin 325mg / Caffeine 15mg tablets 12,£0.94,£0.94,£0.94,£0.94,£0.94,£0.94
Aspirin 325mg / Caffeine 15mg tablets 16,£1.19,£0.94,£0.94,£0.94,£0.94,£0.94
Aspirin 75mg dispersible tablets 28,£0.73,£0.71,£0.69,£0.69,£0.74,£0.74
Aspirin 75mg dispersible tablets 100,£2.61,£0.71,£0.69,£0.69,£0.74,£0.74
Aspirin 75mg gastro-resistant tablets 28,£0.89,£0.92,£0.89,£0.89,£0.90,£0.90
Aspirin 75mg tablets 28,£0.74,£0.75,£0.73,£0.73,£0.75,£0.75
Aspirin 900mg / Metoclopramide 10mg oral powder sachets sugar free 6,£6.61,£6.61,£6.61,£6.61,£6.61,£6.61
Aspirin powder 250,£9.99,£9.99,£9.99,£9.99,£9.99,£9.99
Atenolol 100mg tablets 28,£1.17,£1.11,£1.08,£1.08,£0.73,£0.73
Atenolol 25mg tablets 28,£1.10,£0.96,£0.94,£0.94,£0.71,£0.71
Atenolol 25mg/5ml oral solution sugar free 300,£10.29,£9.19,£9.38,£7.75,£7.95,£7.54
Atenolol 50mg tablets 28,£1.42,£1.15,£1.12,£1.12,£1.05,£1.05
Atomoxetine 100mg capsules 28,£20.73,£21.26,£21.87,£22.58,£23.40,£24.35
Atomoxetine 10mg capsules 28,£13.36,£13.52,£13.72,£13.97,£14.28,£14.68
Atomoxetine 18mg capsules 28,£13.35,£13.51,£13.71,£13.96,£14.28,£14.67
Atomoxetine 25mg capsules 28,£14.03,£14.18,£14.37,£14.61,£14.91,£15.29
Atomoxetine 40mg capsules 28,£13.84,£14.16,£14.44,£15.07,£15.17,£15.16
Atomoxetine 4mg/ml oral solution sugar free 300,£85.00,£85.00,£85.00,£85.00,£85.00,£85.00
Atomoxetine 60mg capsules 28,£15.22,£15.62,£16.08,£16.62,£17.24,£17.97
Atomoxetine 80mg capsules 28,£20.55,£21.08,£21.70,£22.41,£23.23,£24.19
Atorvastatin 10mg chewable tablets sugar free 30,£13.80,£13.80,£13.80,£13.80,£13.80,£13.80
Atorvastatin 10mg tablets 28,£0.68,£0.66,£0.65,£0.65,£0.66,£0.66
Atorvastatin 20mg chewable tablets sugar free 30,£26.40,£26.40,£26.40,£26.40,£26.40,£26.40
Atorvastatin 20mg tablets 28,£0.92,£0.91,£0.88,£0.88,£0.89,£0.89
Atorvastatin 20mg/5ml oral suspension sugar free 150,£198.76,£198.76,£198.76,£198.76,£198.76,£198.76
Atorvastatin 30mg tablets 28,£21.37,£18.23,£24.51,£24.51,£24.51,£24.51
Atorvastatin 40mg tablets 28,£1.00,£0.99,£0.96,£0.96,£0.97,£0.97
Atorvastatin 60mg tablets 28,£23.85,£19.69,£28.01,£28.01,£28.01,£28.01
Atorvastatin 80mg tablets 28,£1.40,£1.40,£1.35,£1.35,£1.35,£1.35
Atovaquone 750mg/5ml oral suspension sugar free 226,£486.37,£486.37,£486.37,£486.37,£486.37,£486.37
Atropine 1% eye drops 10,£238.73,£232.51,£239.14,£234.23,£230.74,£226.06
Atropine 1% eye drops 0.5ml unit dose preservative free 20,£16.31,£16.31,£16.31,£16.31,£16.31,£15.10
Atropine 1mg/1ml solution for injection ampoules 10,£126.30,£126.30,£126.30,£126.30,£126.30,£126.30
Atropine 3mg/10ml solution for injection pre-filled syringes 1,£13.00,£13.00,£13.00,£13.00,£13.00,£13.00
Atropine 600micrograms/1ml solution for injection ampoules 10,£11.71,£11.71,£11.71,£11.71,£11.71,£11.71
